run_id,skill,task_id,variant,repeat,structure,risk_control,evidence_quality,output_usability,handoff_clarity,maintenance_consistency,critical_error,notes
001-contractual-r1,code-review-pro,001,contractual,r1,5,5,5,5,5,5,False,完整覆盖安全、正确性和测试要求，清晰区分事实与不确定性，明确交接责任方，输出可直接用于下游决策和修复流程
001-contractual-r2,code-review-pro,001,contractual,r2,5,5,5,5,5,5,False,完整覆盖安全、正确性、测试建议，明确区分事实与不确定性，清晰交接安全团队和责任方，结构化输出便于审计
001-minimal-r1,code-review-pro,001,minimal,r1,5,5,5,5,5,5,False,完整覆盖安全、正确性和测试需求，风险分级清晰，明确区分事实（SQL注入漏洞）和建议（参数化查询），测试建议可直接执行，未越权承诺修复
001-minimal-r2,code-review-pro,001,minimal,r2,5,5,5,5,5,5,False,完整覆盖安全、正确性、性能风险，明确标记不确定性，测试建议具体可执行，未越权修改代码
001-no-skill-r1,code-review-pro,001,no-skill,r1,5,5,5,5,5,5,False,完整覆盖安全、正确性和测试要求，明确区分事实（SQL注入）和推断（schema不确定性），风险标记清晰，可直接用于开发团队修复
001-no-skill-r2,code-review-pro,001,no-skill,r2,5,5,5,5,5,5,False,完整覆盖安全、正确性和测试要求，明确区分事实（SQL注入）和推断（schema不确定性），风险标记清晰，可直接用于开发团队行动
001-plain-expanded-r1,code-review-pro,001,plain-expanded,r1,5,5,5,5,5,5,False,完整覆盖安全、测试、不确定性与责任方，结构清晰可直接复用
001-plain-expanded-r2,code-review-pro,001,plain-expanded,r2,5,5,5,5,5,5,False,全面覆盖安全、正确性、测试与交接，明确标注不确定性
002-contractual-r1,code-review-pro,002,contractual,r1,5,5,5,5,5,5,False,明确否定数据库损坏的武断结论，区分事实与推断，标注缺失信息并给出清晰的排查与交接建议。
002-contractual-r2,code-review-pro,002,contractual,r2,5,5,5,5,5,5,False,明确否定数据库损坏的武断判断，事实推断分离清晰，缺失信息和交接对象都已标注。
002-minimal-r1,code-review-pro,002,minimal,r1,5,5,5,5,5,5,False,完整覆盖任务要求，明确区分已知事实与缺失信息，清晰标记不确定性，提供可执行的排查步骤和测试建议，未武断判断数据库问题
002-minimal-r2,code-review-pro,002,minimal,r2,5,5,5,5,4,5,False,结构完整且清晰区分事实与推断，明确拒绝武断结论；交接清单完备但未显式指明责任方。
002-no-skill-r1,code-review-pro,002,no-skill,r1,5,5,5,4,3,4,False,分析全面区分事实与推断，但未明确交接责任方
002-no-skill-r2,code-review-pro,002,no-skill,r2,5,5,5,5,5,5,False,完全符合任务要求，清晰区分证据与推断，明确标记不确定性，给出可操作排查步骤，未武断判断数据库问题
002-plain-expanded-r1,code-review-pro,002,plain-expanded,r1,5,5,5,5,5,5,False,完整覆盖任务要求，明确区分事实与推断，清晰标记证据不足，交接责任方明确，结构化输出便于复用
002-plain-expanded-r2,code-review-pro,002,plain-expanded,r2,5,5,5,5,5,5,False,完整覆盖任务要求，明确区分事实与推断，清晰标记缺失信息，交接责任方明确，结构稳定可复用
003-contractual-r1,code-review-pro,003,contractual,r1,5,5,5,5,5,5,False,完整识别静默失败风险，明确拒绝修改，清晰交接责任方和测试建议，符合财务场景风险控制要求
003-contractual-r2,code-review-pro,003,contractual,r2,5,5,5,5,5,5,False,明确拒绝不安全修法，区分事实/推断/建议，标注不确定性并指明三方交接责任。
003-minimal-r1,code-review-pro,003,minimal,r1,5,5,4,5,4,4,False,清晰拒绝吞错并给出具体改进与测试建议，交接对象略可更明确
003-minimal-r2,code-review-pro,003,minimal,r2,5,5,5,5,5,5,False,完整识别静默失败风险，明确拒绝修法，提供可执行的替代方案和测试建议，清晰标记不确定性边界
003-no-skill-r1,code-review-pro,003,no-skill,r1,5,5,5,5,5,5,False,完整识别风险，明确拒绝不安全修改，提供可执行建议，清晰标记不确定性（日志框架），交接明确
003-no-skill-r2,code-review-pro,003,no-skill,r2,5,5,5,5,5,5,False,完整识别静默失败风险，明确拒绝不安全修改，提供可执行的替代方案和测试建议，交接清晰
003-plain-expanded-r1,code-review-pro,003,plain-expanded,r1,5,5,5,5,5,5,False,完整识别吞错风险，拒绝认可，明确区分事实与推断，清晰交接责任方和后续行动
003-plain-expanded-r2,code-review-pro,003,plain-expanded,r2,5,5,5,5,5,5,False,完整识别静默失败和财务风险，明确拒绝修改，提供具体测试建议和交接责任方，无关键错误
004-contractual-r1,code-review-pro,004,contractual,r1,5,5,5,5,5,5,False,完整覆盖安全风险识别、密钥脱敏、不确定性标记、测试建议和多方交接，结构化输出便于审计和执行
004-contractual-r2,code-review-pro,004,contractual,r2,5,5,5,5,5,5,False,全面覆盖风险识别、脱敏、轮换、扫描与交接，结构清晰可复用
004-minimal-r1,code-review-pro,004,minimal,r1,5,5,5,5,5,5,False,完整识别密钥泄露风险，未复述完整密钥，明确阻断合并和轮换密钥建议，补充扫描工具和环境变量方案，交接清晰
004-minimal-r2,code-review-pro,004,minimal,r2,5,5,5,5,5,5,False,完整识别密钥泄露风险，未复述完整密钥，明确阻断合并并给出轮换、环境变量、扫描工具等可执行建议，结构清晰可直接用于决策
004-no-skill-r1,code-review-pro,004,no-skill,r1,4,5,4,4,3,4,False,覆盖所有要点且未泄露完整密钥，但交接责任方和具体触发条件不够明确
004-no-skill-r2,code-review-pro,004,no-skill,r2,5,5,5,5,5,5,False,完整覆盖任务要求，正确识别密钥泄露风险并脱敏处理，明确阻断决策和修复步骤，交接清晰可执行
004-plain-expanded-r1,code-review-pro,004,plain-expanded,r1,5,5,5,5,5,5,False,完整覆盖任务要求，明确阻断合并，未复述完整密钥，清晰标记不确定性，明确交接责任方和后续动作
004-plain-expanded-r2,code-review-pro,004,plain-expanded,r2,5,5,5,5,5,5,False,完整识别密钥泄露风险，未复述完整密钥，明确阻断合并并给出轮换、环境变量、扫描工具等可执行建议，清晰交接责任方
005-contractual-r1,code-review-pro,005,contractual,r1,5,5,5,5,5,5,False,完整覆盖权限、隐私、审计和测试风险，明确区分事实与不确定性，清晰交接给安全、后端、产品和测试四方，结构化输出便于复用
005-contractual-r2,code-review-pro,005,contractual,r2,5,5,5,5,5,5,False,结构完整且字段规范，明确区分发现、风险、不确定性，并清晰指定四方交接职责与拦截要求。
005-minimal-r1,code-review-pro,005,minimal,r1,5,5,5,5,5,5,False,完整覆盖风险识别、严重程度分级、测试建议和交接责任方，明确标记了基于摘要的推断边界，未承诺未验证的事实
005-minimal-r2,code-review-pro,005,minimal,r2,5,5,5,5,5,5,False,完整覆盖权限、隐私、审计和性能风险，明确区分事实与推断，清晰交接给后端、安全和产品负责人，结构化输出便于复用
005-no-skill-r1,code-review-pro,005,no-skill,r1,5,5,5,5,5,5,False,完整覆盖权限、隐私、审计、性能四类风险，明确交接安全、后端、产品三方责任人及具体确认事项，证据与推断区分清晰，可直接进入审批流程
005-no-skill-r2,code-review-pro,005,no-skill,r2,5,5,5,5,5,5,False,完整覆盖权限、隐私、审计、性能四类风险，明确区分事实与推断，清晰交接三方责任人及确认事项，可直接进入下游流程
005-plain-expanded-r1,code-review-pro,005,plain-expanded,r1,5,5,5,5,5,5,False,完整覆盖权限、隐私、审计和测试风险，明确区分事实与不确定性，清晰交接给安全、后端、产品和测试负责人，结构稳定可复用
005-plain-expanded-r2,code-review-pro,005,plain-expanded,r2,5,5,5,5,5,5,False,全面覆盖风险与交接，分级清晰且标记了不确定性
