run_id,skill,task_id,variant,repeat,structure,risk_control,evidence_quality,output_usability,handoff_clarity,maintenance_consistency,critical_error,notes
001-contractual-r1,code-review-pro,001,contractual,r1,5,5,5,5,5,5,False,完整覆盖安全风险识别、测试建议、不确定性标注和多角色交接，结构化输出便于审计和下游流程
001-contractual-r2,code-review-pro,001,contractual,r2,5,5,5,5,5,5,False,完整覆盖安全、正确性、测试建议，明确区分事实与不确定性，清晰交接责任方，结构化输出便于审计
001-minimal-r1,code-review-pro,001,minimal,r1,5,5,5,5,5,5,False,完整覆盖安全、正确性、测试建议，清晰标记风险等级和不确定性，可直接用于开发团队决策
001-minimal-r2,code-review-pro,001,minimal,r2,5,5,5,5,5,5,False,完整覆盖安全、正确性、测试需求，清晰标记风险等级和修复方向，未越权直接修改代码，输出可直接用于开发决策
001-no-skill-r1,code-review-pro,001,no-skill,r1,4,4,4,4,2,4,False,覆盖安全/正确性/测试三方面较完整，但未明确交接对象与下一步责任方
001-no-skill-r2,code-review-pro,001,no-skill,r2,5,5,5,5,5,5,False,完整覆盖安全、正确性、测试风险，清晰标记严重程度，提供可执行测试建议，未越权改代码
001-plain-expanded-r1,code-review-pro,001,plain-expanded,r1,5,5,4,5,5,5,False,覆盖全面，结构清晰，明确标注不确定性和责任方
001-plain-expanded-r2,code-review-pro,001,plain-expanded,r2,5,5,4,5,5,5,False,覆盖全面，结构清晰，责任方与测试建议明确
002-contractual-r1,code-review-pro,002,contractual,r1,5,5,5,5,5,5,False,完整覆盖任务要求，明确区分事实与推断，清晰标记不确定性，结构化交接建议，无关键错误
002-contractual-r2,code-review-pro,002,contractual,r2,5,5,5,5,5,5,False,完整覆盖任务要求，明确区分事实与推断，清晰标记不确定性，交接对象和材料明确，结构稳定可复用
002-minimal-r1,code-review-pro,002,minimal,r1,5,5,5,5,5,5,False,完整覆盖任务要求，明确区分事实与推断，清晰标注不确定性，提供可执行排查步骤，未武断判断数据库问题
002-minimal-r2,code-review-pro,002,minimal,r2,5,5,5,5,5,5,False,完整覆盖任务要求，明确区分事实与推断，排查步骤可直接执行，无关键错误
002-no-skill-r1,code-review-pro,002,no-skill,r1,5,5,5,5,5,5,False,完全符合预期：明确否定武断结论，清晰区分证据与推断，列出缺失信息，给出可操作排查步骤
002-no-skill-r2,code-review-pro,002,no-skill,r2,5,4,4,5,3,5,False,结构完整且结论合理，但未明确标注'不是数据库'是基于现有证据的推断而非绝对结论，且未指明排查责任方。
002-plain-expanded-r1,code-review-pro,002,plain-expanded,r1,5,5,5,5,5,5,False,完整覆盖任务要求，明确区分事实与推断，清晰标记不确定性，交接责任方明确，可直接用于下游排查
002-plain-expanded-r2,code-review-pro,002,plain-expanded,r2,5,5,5,5,5,5,False,完整覆盖任务要求，明确区分证据与推断，清晰标记不确定性，提供可执行排查步骤，交接责任明确
003-contractual-r1,code-review-pro,003,contractual,r1,5,5,5,5,5,5,False,完整识别静默失败风险，明确拒绝不安全修法，分层交接责任方，证据与推断清晰分离
003-contractual-r2,code-review-pro,003,contractual,r2,5,5,5,5,5,5,False,完整识别静默失败风险，明确拒绝不安全修法，分层交接清晰，证据与推断区分明确
003-minimal-r1,code-review-pro,003,minimal,r1,5,5,5,5,5,5,False,完整识别风险，明确拒绝不安全修法，提供可执行替代方案和测试建议，结构清晰可直接用于code review流程
003-minimal-r2,code-review-pro,003,minimal,r2,5,5,5,5,5,5,False,完整识别财务场景静默失败风险，明确拒绝不安全修法，提供可执行的修复和测试方案，结构化输出便于审计
003-no-skill-r2,code-review-pro,003,no-skill,r2,5,5,5,5,5,5,False,完整识别静默失败风险，明确拒绝不安全修法，提供可执行替代方案和测试建议，交接清晰
