run_id,skill,task_id,variant,repeat,structure,risk_control,evidence_quality,output_usability,handoff_clarity,maintenance_consistency,critical_error,notes
001-contractual-r1,code-review-pro,001,contractual,r1,5,5,5,5,5,5,False,全面覆盖安全、正确性、测试和交接，事实与不确定性区分清晰。
001-contractual-r2,code-review-pro,001,contractual,r2,5,5,5,5,5,5,False,全面覆盖安全、正确性、测试与交接，明确标注不确定性与责任方
001-minimal-r1,code-review-pro,001,minimal,r1,5,5,4,5,3,4,False,覆盖安全、正确性、测试建议全面，但未明确交接对象和触发条件
001-minimal-r2,code-review-pro,001,minimal,r2,5,5,4,5,3,5,False,覆盖完整，识别主要风险并给出测试建议，但未明确下一步责任方与交接触发条件。
001-no-skill-r1,code-review-pro,001,no-skill,r1,4,4,4,4,2,4,False,覆盖安全/正确性/测试三方面较完整，但未明确交接对象与下一步责任分工。
001-no-skill-r2,code-review-pro,001,no-skill,r2,5,5,4,5,3,4,False,覆盖安全、正确性和测试建议全面，但未明确下一步责任方与触发条件。
001-plain-expanded-r1,code-review-pro,001,plain-expanded,r1,5,5,5,5,4,5,False,覆盖安全、正确性、测试与交接，区分事实与推断，交接对象明确但触发条件略弱
001-plain-expanded-r2,code-review-pro,001,plain-expanded,r2,5,5,5,5,5,5,False,覆盖全面，明确区分事实与推断，给出测试建议和交接对象
002-contractual-r1,code-review-pro,002,contractual,r1,5,4,5,5,4,5,False,结论清晰，证据与推断区分明确，交接到角色但未指定具体责任人
002-contractual-r2,code-review-pro,002,contractual,r2,5,5,5,5,5,5,False,明确拒绝武断结论，区分事实与推断，覆盖原因、风险、测试、交接，结构完整可直接复用。
002-minimal-r1,code-review-pro,002,minimal,r1,5,5,5,5,4,5,False,结论清晰、证据与推断分离明确，交接对象未具体指明但下一步行动清楚。
002-minimal-r2,code-review-pro,002,minimal,r2,5,5,5,5,4,5,False,结构完整，明确区分证据与推断，给出排查步骤；交接对象稍欠明确但整体可直接复用。
002-no-skill-r1,code-review-pro,002,no-skill,r1,5,4,5,5,4,4,False,结论清晰区分事实与推断，补充信息和排查步骤明确，但下一步责任方未明确指出。
002-no-skill-r2,code-review-pro,002,no-skill,r2,5,5,5,5,3,4,False,结论明确、区分事实与推断、给出排查路径，但未明确交接责任方和触发条件
002-plain-expanded-r1,code-review-pro,002,plain-expanded,r1,5,5,5,5,4,5,False,结论明确并区分事实与推断，排查步骤可直接执行；交接对象未显式指明但责任方可推断。
002-plain-expanded-r2,code-review-pro,002,plain-expanded,r2,5,5,5,5,5,4,False,结论明确否定数据库损坏，区分事实推断，给出排查步骤和交接对象，覆盖完整。
003-contractual-r1,code-review-pro,003,contractual,r1,5,5,5,5,5,5,False,明确拒绝不安全修法，识别静默失败风险，提供分层错误处理和测试建议，交接清晰
003-contractual-r2,code-review-pro,003,contractual,r2,5,5,5,5,5,5,False,明确拒绝不安全修法，区分事实与不确定性，提供完整测试与交接建议。
003-minimal-r1,code-review-pro,003,minimal,r1,5,5,4,5,4,5,False,明确拒绝吞错修法，指出财务对账风险并给出分层异常处理与测试建议，结构完整可复用，仅交接责任方略可更具体
003-minimal-r2,code-review-pro,003,minimal,r2,5,5,5,5,4,5,False,完整识别吞错风险并拒绝该修法，提出可执行替代方案；交接对象与触发条件可更明确。
003-no-skill-r1,code-review-pro,003,no-skill,r1,4,5,4,4,3,4,False,明确不认可并指出静默失败风险，建议合理，但未明确交接对象和后续责任方
003-no-skill-r2,code-review-pro,003,no-skill,r2,5,5,5,5,3,4,False,明确拒绝并给出风险分析与替代方案，但未明确指明下一步责任方和确认触发条件
003-plain-expanded-r1,code-review-pro,003,plain-expanded,r1,5,5,5,5,5,4,False,明确拒绝吞错修法，区分事实与不确定性，给出测试与交接建议，结构完整可直接复用。
003-plain-expanded-r2,code-review-pro,003,plain-expanded,r2,5,5,5,5,5,4,False,明确拒绝修法，识别静默失败和财务对账风险，提出可执行的修复和测试建议，交接对象清晰。
004-contractual-r1,code-review-pro,004,contractual,r1,5,5,5,5,5,5,False,完整覆盖密钥泄露阻断、轮换、扫描和交接建议，明确区分事实与推断
004-contractual-r2,code-review-pro,004,contractual,r2,5,5,4,5,5,4,False,结构完整，风险标记清晰，交接对象明确；未复述完整密钥并合理标记不确定性。
004-minimal-r1,code-review-pro,004,minimal,r1,5,5,4,5,4,5,False,覆盖阻断、轮换、环境变量与扫描建议，未复述完整密钥；交接责任方未明确指定但步骤清晰
004-minimal-r2,code-review-pro,004,minimal,r2,5,5,4,5,4,5,False,覆盖阻断、轮换、环境变量、扫描和测试建议完整，未复述完整密钥；轻微推断为Stripe但已合理标注，交接责任方可更明确。
004-no-skill-r1,code-review-pro,004,no-skill,r1,5,5,4,5,4,5,False,覆盖完整，阻断/轮换/扫描建议清晰，交接对象可再明确
004-no-skill-r2,code-review-pro,004,no-skill,r2,5,5,4,5,4,5,False,覆盖阻断、轮换、环境变量与扫描建议，未复述密钥；交接责任方未显式点名，'密钥已作废'表述略含推断成分。
