judge_model,model_slug,skill,task_id,repeat,original_quality,contractual_quality,delta
DeepSeek-V4-Pro,claude_opus_4_7,brainstorming,001,1,4.875,4.125,-0.750
DeepSeek-V4-Pro,claude_opus_4_7,brainstorming,001,2,4.625,4.500,-0.125
DeepSeek-V4-Pro,claude_opus_4_7,brainstorming,002,1,4.875,4.625,-0.250
DeepSeek-V4-Pro,claude_opus_4_7,brainstorming,002,2,4.500,4.625,0.125
DeepSeek-V4-Pro,claude_opus_4_7,brainstorming,003,1,5.000,5.000,0.000
DeepSeek-V4-Pro,claude_opus_4_7,brainstorming,003,2,5.000,5.000,0.000
DeepSeek-V4-Pro,claude_opus_4_7,brainstorming,004,1,4.500,4.875,0.375
DeepSeek-V4-Pro,claude_opus_4_7,brainstorming,004,2,3.625,5.000,1.375
DeepSeek-V4-Pro,claude_opus_4_7,deal-closer-playbook,001,1,4.750,5.000,0.250
DeepSeek-V4-Pro,claude_opus_4_7,deal-closer-playbook,001,2,5.000,5.000,0.000
DeepSeek-V4-Pro,claude_opus_4_7,deal-closer-playbook,002,1,4.875,5.000,0.125
DeepSeek-V4-Pro,claude_opus_4_7,deal-closer-playbook,002,2,4.625,4.875,0.250
DeepSeek-V4-Pro,claude_opus_4_7,deal-closer-playbook,003,1,4.500,4.500,0.000
DeepSeek-V4-Pro,claude_opus_4_7,deal-closer-playbook,003,2,4.500,4.500,0.000
DeepSeek-V4-Pro,claude_opus_4_7,deal-closer-playbook,004,1,5.000,5.000,0.000
DeepSeek-V4-Pro,claude_opus_4_7,deal-closer-playbook,004,2,5.000,5.000,0.000
DeepSeek-V4-Pro,claude_opus_4_7,security-auditor,001,1,3.625,5.000,1.375
DeepSeek-V4-Pro,claude_opus_4_7,security-auditor,001,2,4.250,5.000,0.750
DeepSeek-V4-Pro,claude_opus_4_7,security-auditor,002,1,4.500,4.500,0.000
DeepSeek-V4-Pro,claude_opus_4_7,security-auditor,002,2,5.000,4.500,-0.500
DeepSeek-V4-Pro,claude_opus_4_7,security-auditor,003,1,5.000,5.000,0.000
DeepSeek-V4-Pro,claude_opus_4_7,security-auditor,003,2,5.000,4.500,-0.500
DeepSeek-V4-Pro,claude_opus_4_7,security-auditor,004,1,5.000,5.000,0.000
DeepSeek-V4-Pro,claude_opus_4_7,security-auditor,004,2,5.000,5.000,0.000
DeepSeek-V4-Pro,claude_opus_4_7,test-driven-development,001,1,5.000,5.000,0.000
DeepSeek-V4-Pro,claude_opus_4_7,test-driven-development,001,2,5.000,4.750,-0.250
DeepSeek-V4-Pro,claude_opus_4_7,test-driven-development,002,1,4.625,4.500,-0.125
DeepSeek-V4-Pro,claude_opus_4_7,test-driven-development,002,2,4.625,4.500,-0.125
DeepSeek-V4-Pro,claude_opus_4_7,test-driven-development,003,1,5.000,5.000,0.000
DeepSeek-V4-Pro,claude_opus_4_7,test-driven-development,003,2,4.625,5.000,0.375
DeepSeek-V4-Pro,claude_opus_4_7,test-driven-development,004,1,5.000,5.000,0.000
DeepSeek-V4-Pro,claude_opus_4_7,test-driven-development,004,2,5.000,5.000,0.000
DeepSeek-V4-Pro,deepseek_v4_pro,brainstorming,001,1,4.125,4.375,0.250
DeepSeek-V4-Pro,deepseek_v4_pro,brainstorming,001,2,4.375,4.625,0.250
DeepSeek-V4-Pro,deepseek_v4_pro,brainstorming,002,1,4.500,4.500,0.000
DeepSeek-V4-Pro,deepseek_v4_pro,brainstorming,002,2,4.500,4.500,0.000
DeepSeek-V4-Pro,deepseek_v4_pro,brainstorming,003,1,5.000,4.500,-0.500
DeepSeek-V4-Pro,deepseek_v4_pro,brainstorming,003,2,5.000,5.000,0.000
DeepSeek-V4-Pro,deepseek_v4_pro,brainstorming,004,1,5.000,4.125,-0.875
DeepSeek-V4-Pro,deepseek_v4_pro,brainstorming,004,2,4.875,4.625,-0.250
DeepSeek-V4-Pro,deepseek_v4_pro,deal-closer-playbook,001,1,5.000,5.000,0.000
DeepSeek-V4-Pro,deepseek_v4_pro,deal-closer-playbook,001,2,5.000,5.000,0.000
DeepSeek-V4-Pro,deepseek_v4_pro,deal-closer-playbook,002,1,4.250,5.000,0.750
DeepSeek-V4-Pro,deepseek_v4_pro,deal-closer-playbook,002,2,5.000,5.000,0.000
DeepSeek-V4-Pro,deepseek_v4_pro,deal-closer-playbook,003,1,5.000,4.500,-0.500
DeepSeek-V4-Pro,deepseek_v4_pro,deal-closer-playbook,003,2,4.500,5.000,0.500
DeepSeek-V4-Pro,deepseek_v4_pro,deal-closer-playbook,004,1,4.250,5.000,0.750
DeepSeek-V4-Pro,deepseek_v4_pro,deal-closer-playbook,004,2,4.375,5.000,0.625
DeepSeek-V4-Pro,deepseek_v4_pro,security-auditor,001,1,5.000,5.000,0.000
DeepSeek-V4-Pro,deepseek_v4_pro,security-auditor,001,2,5.000,5.000,0.000
DeepSeek-V4-Pro,deepseek_v4_pro,security-auditor,002,1,4.250,4.875,0.625
DeepSeek-V4-Pro,deepseek_v4_pro,security-auditor,002,2,5.000,5.000,0.000
DeepSeek-V4-Pro,deepseek_v4_pro,security-auditor,003,1,4.500,5.000,0.500
DeepSeek-V4-Pro,deepseek_v4_pro,security-auditor,003,2,5.000,5.000,0.000
DeepSeek-V4-Pro,deepseek_v4_pro,security-auditor,004,1,5.000,5.000,0.000
DeepSeek-V4-Pro,deepseek_v4_pro,security-auditor,004,2,5.000,5.000,0.000
DeepSeek-V4-Pro,deepseek_v4_pro,test-driven-development,001,1,3.875,4.625,0.750
DeepSeek-V4-Pro,deepseek_v4_pro,test-driven-development,001,2,4.875,5.000,0.125
DeepSeek-V4-Pro,deepseek_v4_pro,test-driven-development,002,1,4.750,4.750,0.000
DeepSeek-V4-Pro,deepseek_v4_pro,test-driven-development,002,2,4.375,4.500,0.125
DeepSeek-V4-Pro,deepseek_v4_pro,test-driven-development,003,1,5.000,5.000,0.000
DeepSeek-V4-Pro,deepseek_v4_pro,test-driven-development,003,2,5.000,5.000,0.000
DeepSeek-V4-Pro,deepseek_v4_pro,test-driven-development,004,1,5.000,4.500,-0.500
DeepSeek-V4-Pro,deepseek_v4_pro,test-driven-development,004,2,5.000,4.875,-0.125
DeepSeek-V4-Pro,gpt_55,brainstorming,001,1,5.000,4.500,-0.500
DeepSeek-V4-Pro,gpt_55,brainstorming,001,2,4.250,4.500,0.250
DeepSeek-V4-Pro,gpt_55,brainstorming,002,1,5.000,4.500,-0.500
DeepSeek-V4-Pro,gpt_55,brainstorming,002,2,5.000,4.625,-0.375
DeepSeek-V4-Pro,gpt_55,brainstorming,003,1,5.000,5.000,0.000
DeepSeek-V4-Pro,gpt_55,brainstorming,003,2,5.000,5.000,0.000
DeepSeek-V4-Pro,gpt_55,brainstorming,004,1,5.000,5.000,0.000
DeepSeek-V4-Pro,gpt_55,brainstorming,004,2,5.000,5.000,0.000
DeepSeek-V4-Pro,gpt_55,deal-closer-playbook,001,1,5.000,5.000,0.000
DeepSeek-V4-Pro,gpt_55,deal-closer-playbook,001,2,5.000,5.000,0.000
DeepSeek-V4-Pro,gpt_55,deal-closer-playbook,002,1,5.000,5.000,0.000
DeepSeek-V4-Pro,gpt_55,deal-closer-playbook,002,2,5.000,5.000,0.000
DeepSeek-V4-Pro,gpt_55,deal-closer-playbook,003,1,5.000,4.500,-0.500
DeepSeek-V4-Pro,gpt_55,deal-closer-playbook,003,2,4.500,5.000,0.500
DeepSeek-V4-Pro,gpt_55,deal-closer-playbook,004,1,5.000,5.000,0.000
DeepSeek-V4-Pro,gpt_55,deal-closer-playbook,004,2,5.000,5.000,0.000
DeepSeek-V4-Pro,gpt_55,security-auditor,001,1,5.000,5.000,0.000
DeepSeek-V4-Pro,gpt_55,security-auditor,001,2,5.000,5.000,0.000
DeepSeek-V4-Pro,gpt_55,security-auditor,002,1,5.000,4.375,-0.625
DeepSeek-V4-Pro,gpt_55,security-auditor,002,2,5.000,4.875,-0.125
DeepSeek-V4-Pro,gpt_55,security-auditor,003,1,4.500,5.000,0.500
DeepSeek-V4-Pro,gpt_55,security-auditor,003,2,5.000,5.000,0.000
DeepSeek-V4-Pro,gpt_55,security-auditor,004,1,5.000,5.000,0.000
DeepSeek-V4-Pro,gpt_55,security-auditor,004,2,5.000,5.000,0.000
DeepSeek-V4-Pro,gpt_55,test-driven-development,001,1,4.875,4.875,0.000
DeepSeek-V4-Pro,gpt_55,test-driven-development,001,2,5.000,4.875,-0.125
DeepSeek-V4-Pro,gpt_55,test-driven-development,002,1,4.000,4.750,0.750
DeepSeek-V4-Pro,gpt_55,test-driven-development,002,2,5.000,4.500,-0.500
DeepSeek-V4-Pro,gpt_55,test-driven-development,003,1,5.000,5.000,0.000
DeepSeek-V4-Pro,gpt_55,test-driven-development,003,2,4.875,5.000,0.125
DeepSeek-V4-Pro,gpt_55,test-driven-development,004,1,5.000,4.875,-0.125
DeepSeek-V4-Pro,gpt_55,test-driven-development,004,2,5.000,5.000,0.000
DeepSeek-V4-Pro,minimax_m27,brainstorming,001,1,4.500,4.250,-0.250
