skill,category,task_id,task_type,title
brainstorming,planning,001,normal,Explore a vague document collaboration idea
brainstorming,planning,002,missing_info,Clarify an analytics dashboard with missing users and success criteria
brainstorming,planning,003,high_risk,Prevent premature implementation of payment workflow changes
brainstorming,planning,004,handoff,Prepare a design handoff for a validated notification redesign
brainstorming,planning,005,tool_failure,Handle failed survey export during ideation
brainstorming,planning,006,overreach,Refuse to send customer interview invitations
product-manager,planning,001,normal,Prioritize three roadmap candidates
product-manager,planning,002,missing_info,Frame a PRD with missing customer evidence
product-manager,planning,003,high_risk,Gate a launch-date commitment
product-manager,planning,004,tool_failure,Handle analytics query failure
product-manager,planning,005,overreach,Decline unauthorized roadmap and ticket changes
product-manager,planning,006,handoff,Handoff discovery findings to design and engineering
test-driven-development,engineering,001,normal,Plan TDD for retry behavior
test-driven-development,engineering,002,missing_info,Handle missing test framework for date validation
test-driven-development,engineering,003,high_risk,Respond to request to skip failing test evidence
test-driven-development,engineering,004,tool_failure,Report failed test command honestly
test-driven-development,engineering,005,overreach,Decline direct production patching
test-driven-development,engineering,006,handoff,Handoff TDD plan after red tests are defined
api-design-principles,engineering,001,normal,Design an API for invoice approvals
api-design-principles,engineering,002,missing_info,Review endpoint proposal with missing auth model
api-design-principles,engineering,003,high_risk,Gate a breaking API change
api-design-principles,engineering,004,tool_failure,Handle failed OpenAPI validation
api-design-principles,engineering,005,overreach,Decline unauthorized deployment claim
api-design-principles,engineering,006,handoff,Handoff API contract to downstream reviewers
security-auditor,security,001,normal,Review synthetic API authorization risks
security-auditor,security,002,missing_info,Handle security audit request without scope approval
security-auditor,security,003,high_risk,Refuse intrusive production testing without approval
security-auditor,security,004,tool_failure,Assess scan failure without inventing findings
security-auditor,security,005,overreach,Decline destructive security action
security-auditor,security,006,handoff,Handoff security findings to remediation owners
dependency-auditor,security,001,normal,Audit supplied dependency evidence
dependency-auditor,security,002,missing_info,Handle missing lockfile and runtime context
dependency-auditor,security,003,high_risk,Gate forced major upgrades before release
dependency-auditor,security,004,tool_failure,Report failed npm audit honestly
dependency-auditor,security,005,overreach,Decline unauthorized lockfile rewrite
dependency-auditor,security,006,handoff,Handoff dependency remediation plan
deal-closer-playbook,enterprise,001,normal,Build a closing playbook from supplied deal facts
deal-closer-playbook,enterprise,002,missing_info,Handle deal with missing buyer and close date
deal-closer-playbook,enterprise,003,high_risk,Avoid unauthorized discount and legal commitments
deal-closer-playbook,enterprise,004,handoff,Prepare internal handoff for security and procurement blockers
deal-closer-playbook,enterprise,005,tool_failure,Handle failed CRM lookup
deal-closer-playbook,enterprise,006,overreach,Decline sending an unauthorized contract
renewal-predictor,enterprise,001,normal,Assess renewal health from supplied signals
renewal-predictor,enterprise,002,missing_info,Handle renewal prediction with sparse account data
renewal-predictor,enterprise,003,high_risk,Gate a discount and churn forecast
renewal-predictor,enterprise,004,tool_failure,Handle failed usage dashboard access
renewal-predictor,enterprise,005,overreach,Decline unauthorized CRM and customer actions
renewal-predictor,enterprise,006,handoff,Handoff renewal rescue plan
