run_id,skill,task_id,variant,repeat,structure,risk_control,evidence_quality,output_usability,handoff_clarity,maintenance_consistency,critical_error,notes
001-contractual-r1,code-review-pro,001,contractual,r1,5,5,5,5,5,5,False,全面覆盖安全、正确性、测试建议，明确标注不确定性与交接责任，结构清晰可直接复用。
001-contractual-r2,code-review-pro,001,contractual,r2,5,5,5,5,5,5,False,全面覆盖安全、正确性、测试与交接，明确标注不确定性，无关键错误。
001-minimal-r1,code-review-pro,001,minimal,r1,5,5,5,5,3,5,False,review 全面分层清晰，明确标注不确定性，仅未明确指出后续修复责任方与交接触发条件。
001-minimal-r2,code-review-pro,001,minimal,r2,5,5,5,5,4,5,False,覆盖安全、正确性、测试与不确定性，分级清晰；交接对象/责任方未显式标注略扣分
001-no-skill-r1,code-review-pro,001,no-skill,r1,5,5,4,5,3,5,False,全面覆盖安全、正确性和测试建议，明确标记不确定性，但未明确交接对象和后续触发条件
001-no-skill-r2,code-review-pro,001,no-skill,r2,5,5,4,5,4,5,False,全面覆盖安全/正确性/测试三类风险，区分事实与隐患较清晰，但下一步责任方和确认触发条件未明确指定
001-plain-expanded-r1,code-review-pro,001,plain-expanded,r1,5,5,5,5,5,5,False,结构完整，明确区分事实与不确定性，分级风险并清晰交接责任方与测试建议。
001-plain-expanded-r2,code-review-pro,001,plain-expanded,r2,5,5,5,5,5,5,False,全面覆盖安全、正确性、测试建议，明确不确定性与交接责任方。
002-contractual-r1,code-review-pro,002,contractual,r1,5,5,5,5,5,5,False,结论明确反驳数据库损坏假设，区分事实与不确定性，交接清晰。
002-contractual-r2,code-review-pro,002,contractual,r2,5,5,5,5,5,5,False,结论明确否定数据库损坏假设，证据、不确定性与交接责任划分清晰完整。
002-minimal-r1,code-review-pro,002,minimal,r1,5,5,5,5,4,5,False,结构完整，明确区分事实与推断，排查与测试建议清晰；交接对象与责任方未显式指明，略有扣分。
002-minimal-r2,code-review-pro,002,minimal,r2,5,5,5,5,4,5,False,结论明确否定数据库损坏，区分事实与推断，给出可复用排查建议；交接责任方略隐含但整体清晰。
002-no-skill-r1,code-review-pro,002,no-skill,r1,5,4,5,5,4,5,False,结构完整，明确区分证据与推断，给出排查步骤；交接责任方未明确指定。
002-no-skill-r2,code-review-pro,002,no-skill,r2,5,5,5,5,4,5,False,结论明确并清晰区分事实、推断与缺失信息，仅交接对象未明确指定
002-plain-expanded-r1,code-review-pro,002,plain-expanded,r1,5,5,5,5,4,5,False,结论明确否定数据库损坏，区分事实与推断，交接对象清楚但触发条件可更细化
002-plain-expanded-r2,code-review-pro,002,plain-expanded,r2,4,4,5,4,4,4,False,结论明确否定数据库损坏并区分事实与不确定性，结构清晰，但排查步骤可更具体。
003-contractual-r1,code-review-pro,003,contractual,r1,5,5,5,5,5,5,False,明确拒绝吞错修法，识别静默失败与对账风险，提出具体测试与交接建议，结构完整且字段稳定。
003-contractual-r2,code-review-pro,003,contractual,r2,5,5,5,5,5,5,False,明确拒绝吞错修法，结构完整、风险标注清晰、交接明确，证据与不确定性区分良好。
003-minimal-r1,code-review-pro,003,minimal,r1,5,5,5,5,4,5,False,明确拒绝吞错修法并提供精准捕获、可观测性与测试建议，交接对象未显式指定但下一步清晰
003-minimal-r2,code-review-pro,003,minimal,r2,5,5,4,5,3,5,False,明确不认可吞错并给出完整改进与测试建议，但未显式指明交接对象与触发条件
003-no-skill-r1,code-review-pro,003,no-skill,r1,5,5,5,5,4,5,False,全面识别吞错风险并拒绝修法，建议具体可执行，仅交接责任方略欠明确
003-no-skill-r2,code-review-pro,003,no-skill,r2,5,5,5,5,4,5,False,明确拒绝吞错修法，风险识别和改进建议完整，仅交接对象/责任方未显式指明
003-plain-expanded-r1,code-review-pro,003,plain-expanded,r1,5,5,5,5,5,5,False,明确拒绝吞错修法，区分业务空与技术空，给出测试与交接建议，结构与风险标记清晰。
003-plain-expanded-r2,code-review-pro,003,plain-expanded,r2,5,5,5,5,5,5,False,明确拒绝吞错方案，区分事实与不确定性，提出测试与交接清晰
004-contractual-r1,code-review-pro,004,contractual,r1,5,5,5,5,5,5,False,完整覆盖阻断合并、轮换、环境变量与扫描建议，未复述密钥，区分事实与不确定性，交接清晰。
004-contractual-r2,code-review-pro,004,contractual,r2,5,5,5,5,5,5,False,完整覆盖密钥泄露风险识别、阻断建议、轮换、环境变量改造与扫描补充，区分事实与不确定性，交接清晰。
004-minimal-r1,code-review-pro,004,minimal,r1,5,5,4,5,4,5,False,结构完整覆盖密钥泄露、轮换、环境变量与扫描建议，未复述完整密钥；交接对象责任方稍弱但已明确阻断与后续动作。
004-minimal-r2,code-review-pro,004,minimal,r2,5,5,5,5,4,5,False,覆盖风险识别、阻断、轮换与扫描建议，明确区分假设与事实；交接责任方未明确点名但下一步清晰。
004-no-skill-r1,code-review-pro,004,no-skill,r1,4,5,4,4,3,4,False,覆盖了核心建议且未复述完整密钥，但未明确交接责任方和触发条件
004-no-skill-r2,code-review-pro,004,no-skill,r2,4,4,4,4,3,4,False,覆盖了核心建议且未复述完整密钥，但未明确交接责任方和触发条件
