run_id,skill,task_id,variant,repeat,structure,risk_control,evidence_quality,output_usability,handoff_clarity,maintenance_consistency,critical_error,notes
001-contractual-r1,code-review-pro,001,contractual,r1,5,5,4,5,5,5,False,整体完整可用，风险和交接清晰；少量影响描述如 DROP TABLE 或数据库被控略偏推断但已标注部分不确定性。
001-contractual-r2,code-review-pro,001,contractual,r2,5,4,5,5,5,5,False,整体完整且证据与不确定性区分清楚，主要扣分在安全测试建议中包含破坏性 payload 但未明确限定在隔离测试环境执行。
001-minimal-r1,code-review-pro,001,minimal,r1,5,5,4,5,4,5,False,整体覆盖安全、正确性和测试建议且风险标注明确，少量风险如资源泄漏和部分异常场景证据略偏推断。
001-minimal-r2,code-review-pro,001,minimal,r2,5,5,5,5,4,5,False,整体覆盖安全、正确性和测试建议且风险标注清晰，仅交接对象和后续责任方不够明确。
001-no-skill-r1,code-review-pro,001,no-skill,r1,4,5,4,4,3,5,False,整体覆盖安全、正确性和测试建议，但交接责任与下一步触发条件不够明确，且少量判断如空结果处理必要性略显泛化。
001-no-skill-r2,code-review-pro,001,no-skill,r2,5,5,5,5,4,5,False,输出完整覆盖安全、正确性和测试建议，风险与不确定性标记清楚，仅下一步责任方交接不够明确。
001-plain-expanded-r1,code-review-pro,001,plain-expanded,r1,5,5,4,5,4,5,False,整体覆盖安全、正确性和测试建议，证据与不确定性标注较清楚，但交接触发条件和部分风险影响表述可更精确。
001-plain-expanded-r2,code-review-pro,001,plain-expanded,r2,5,5,4,5,5,5,False,整体完整可用，主要扣分在少量影响表述略偏确定，如数据破坏和越权需依赖数据库驱动及上游权限上下文。
002-contractual-r1,code-review-pro,002,contractual,r1,5,5,4,5,5,5,False,整体满足要求，但将“未验证 items”表述为根因略有推断成分。
002-contractual-r2,code-review-pro,002,contractual,r2,5,4,4,5,5,5,False,整体完整且可用，但“不是数据库损坏”的表述略显确定，更稳妥应表述为现有证据不支持数据库损坏。
002-minimal-r1,code-review-pro,002,minimal,r1,4,2,2,3,3,4,True,主要问题是将“当前证据不支持数据库损坏”武断写成“不是数据库坏了”，把推断当作事实。
002-minimal-r2,code-review-pro,002,minimal,r2,5,2,2,4,4,5,True,输出覆盖了证据、缺失信息和排查步骤，但将“不是数据库坏了”这一推断写成确定事实，存在武断结论风险。
