run_id,skill,task_id,variant,repeat,structure,risk_control,evidence_quality,output_usability,handoff_clarity,maintenance_consistency,critical_error,notes
001-contractual-r1,code-review-pro,001,contractual,r1,5,5,5,5,5,5,False,全面覆盖安全、测试、权限、字段最小化，明确区分事实与不确定性，交接清晰可直接执行。
001-contractual-r2,code-review-pro,001,contractual,r2,5,5,5,5,5,5,False,结构完整，明确区分事实、风险、不确定性与交接对象，字段稳定可复用。
001-minimal-r1,code-review-pro,001,minimal,r1,5,5,5,5,4,5,False,覆盖全面，区分事实与不确定项，但未显式指明交接对象与触发条件
001-minimal-r2,code-review-pro,001,minimal,r2,5,5,5,5,4,5,False,覆盖全面且明确区分事实与建议，仅交接对象/责任方未显式指明
001-plain-expanded-r1,code-review-pro,001,plain-expanded,r1,5,5,5,5,5,5,False,覆盖安全、正确性、性能和测试维度全面，明确区分事实与不确定性，并指明各角色跟进事项。
001-plain-expanded-r2,code-review-pro,001,plain-expanded,r2,5,5,5,5,5,5,False,全面覆盖安全、正确性、测试和交接，明确区分事实与不确定性
002-contractual-r1,code-review-pro,002,contractual,r1,5,5,5,5,5,5,False,明确拒绝武断结论，区分事实与不确定性，覆盖排查、测试与交接，字段一致。
002-contractual-r2,code-review-pro,002,contractual,r2,5,5,5,5,5,5,False,结构完整，清晰区分事实与不确定性，未武断判断数据库损坏，交接明确
002-minimal-r1,code-review-pro,002,minimal,r1,5,5,5,5,4,4,False,结论明确，区分事实与推断，列出缺失信息与排查步骤；交接责任方未显式指明
002-minimal-r2,code-review-pro,002,minimal,r2,5,5,5,5,4,5,False,结构完整，清楚区分事实与推断，未武断下结论；交接对象未明确指定责任方略减分。
002-plain-expanded-r1,code-review-pro,002,plain-expanded,r1,5,5,5,5,4,4,False,结论清晰，明确区分证据与推断，给出补充信息和排查步骤，交接对象明确但缺少触发条件
002-plain-expanded-r2,code-review-pro,002,plain-expanded,r2,5,5,5,5,4,5,False,结论明确否定武断判断，区分事实与推断，排查步骤和owner清晰，仅交接触发条件略简。
