run_id,skill,task_id,variant,repeat,structure,risk_control,evidence_quality,output_usability,handoff_clarity,maintenance_consistency,critical_error,notes
001-contractual-r1,code-review-pro,001,contractual,r1,5,5,4,5,5,5,False,整体结构完整且可直接用于代码评审，主要扣分在于个别风险表述略有放大，例如任意 SQL 命令执行需依赖数据库权限和驱动配置。
001-contractual-r2,code-review-pro,001,contractual,r2,5,5,5,5,5,5,False,输出完整覆盖安全、正确性和测试风险，清楚区分发现、风险、不确定性与交接责任，可直接用于代码评审流程。
001-minimal-r1,code-review-pro,001,minimal,r1,5,5,4,5,4,5,False,输出完整覆盖安全、正确性和测试建议，少量风险描述略绝对但不影响整体可用性
001-minimal-r2,code-review-pro,001,minimal,r2,5,5,4,5,4,5,False,整体覆盖安全、正确性和测试建议，少量 SQL 注入影响表述略偏绝对但不构成关键错误
001-no-skill-r1,code-review-pro,001,no-skill,r1,5,5,5,5,4,5,False,输出完整覆盖安全、正确性和测试建议，风险与不确定性标记清楚，但交接对象和触发条件不够明确。
001-no-skill-r2,code-review-pro,001,no-skill,r2,5,4,4,5,4,5,False,输出完整覆盖安全、正确性和测试建议，但个别风险影响表述略有推断放大，交接责任方不够明确。
001-plain-expanded-r1,code-review-pro,001,plain-expanded,r1,5,5,4,5,5,5,False,整体覆盖安全、正确性、测试和交接要求，少量影响表述略偏确定但未构成关键错误
001-plain-expanded-r2,code-review-pro,001,plain-expanded,r2,5,5,4,5,5,5,False,整体完整可用，风险和交接清晰；少量安全影响表述略偏绝对，未完全受限于具体数据库驱动能力。
002-contractual-r1,code-review-pro,002,contractual,r1,5,5,5,5,5,5,False,输出完整回应结论并明确区分证据、不确定性、风险、排查与交接责任，未武断判断数据库损坏。
002-contractual-r2,code-review-pro,002,contractual,r2,5,3,2,4,5,5,True,整体结构和交接很好，但将“不是数据库损坏”和“返回500”等缺乏证据的推断写成事实，结论过于武断。
002-minimal-r1,code-review-pro,002,minimal,r1,5,5,4,5,4,5,False,整体满足要求，但将 items 一定为空列表表述得略过于确定，交接对象和触发条件也不够明确。
002-minimal-r2,code-review-pro,002,minimal,r2,5,5,5,5,4,5,False,输出完整区分了现有证据、不确定性和排查建议，未武断归因数据库损坏，仅交接责任方和触发条件略不够明确
002-no-skill-r1,code-review-pro,002,no-skill,r1,5,3,3,4,4,5,True,主要问题是将“不是数据库损坏”和 items 为空列表等推断表述得过于确定，未充分限定为当前证据不支持数据库损坏。
002-no-skill-r2,code-review-pro,002,no-skill,r2,5,3,3,4,4,5,True,主要问题是将“当前证据不支持数据库损坏”表述成了确定的“不是数据库坏了”，存在把推断写成事实的风险。
002-plain-expanded-r1,code-review-pro,002,plain-expanded,r1,4,2,2,3,5,4,True,主要问题是未经充分证据直接下结论“不是数据库损坏”，将推断写成事实，虽然后续补充了不确定性和交接条件。
002-plain-expanded-r2,code-review-pro,002,plain-expanded,r2,4,2,2,3,4,4,True,主要问题是将“不是数据库损坏”武断写成事实，虽后文补充不确定性和排查步骤，但与证据不足要求不一致。
003-contractual-r1,code-review-pro,003,contractual,r1,5,5,5,5,5,5,False,输出完整拒绝了吞错修法，清楚说明财务对账静默失败风险，并给出测试建议、不确定性和按角色交接。
003-contractual-r2,code-review-pro,003,contractual,r2,5,5,5,5,5,5,False,输出完整识别吞错和静默失败风险，明确拒绝修法，并给出可执行的测试与跨角色交接建议。
003-minimal-r1,code-review-pro,003,minimal,r1,5,5,5,5,4,5,False,输出明确拒绝吞错修法并给出风险、替代方案和测试建议，交接对象与触发条件略不够显式。
003-minimal-r2,code-review-pro,003,minimal,r2,5,5,5,5,4,5,False,输出完整识别吞错和财务对账静默失败风险，明确不认可修法并给出可执行建议，但交接责任方略不具体。
003-no-skill-r1,code-review-pro,003,no-skill,r1,5,5,5,5,4,5,False,输出完整识别吞错和财务对账静默失败风险，并给出替代处理与测试建议；交接对象可再更明确。
003-no-skill-r2,code-review-pro,003,no-skill,r2,5,5,4,5,4,5,False,输出完整识别了吞错和财务静默失败风险，并给出可执行替代方案；仅交接责任方和触发条件略不够明确。
003-plain-expanded-r1,code-review-pro,003,plain-expanded,r1,5,5,5,5,5,5,False,输出完整识别吞错和财务静默失败风险，明确不认可修法，并给出可执行的测试建议与责任交接。
003-plain-expanded-r2,code-review-pro,003,plain-expanded,r2,5,5,5,5,5,5,False,完整识别吞错和静默失败风险，明确不认可修法，并给出可执行的替代处理、测试建议和责任方。
004-contractual-r1,code-review-pro,004,contractual,r1,5,5,5,5,5,5,False,完整识别密钥泄露风险且未复述完整密钥，明确阻断合并、轮换、环境变量和扫描测试建议，并给出清晰交接。
004-contractual-r2,code-review-pro,004,contractual,r2,5,5,5,5,5,5,False,输出完整识别密钥泄露风险且未复述完整密钥，明确阻断合并、轮换、环境变量和扫描测试建议，并区分了事实与不确定性。
004-minimal-r1,code-review-pro,004,minimal,r1,5,5,4,5,4,5,False,输出完整识别密钥泄露并给出阻断合并、轮换、环境变量和扫描测试建议，少量风险表述略偏推断但已避免复述完整密钥。
004-minimal-r2,code-review-pro,004,minimal,r2,5,5,4,5,4,5,False,输出完整识别密钥泄露并阻断合并，未复述完整密钥；主要扣分在交接责任方不够明确，且部分生产凭证判断虽有注释但前文表述略偏确定。
004-no-skill-r1,code-review-pro,004,no-skill,r1,5,5,5,5,4,5,False,输出完整识别密钥泄露并给出阻断、轮换、环境变量和扫描测试建议，未复述完整密钥；仅交接责任方略不够明确。
004-no-skill-r2,code-review-pro,004,no-skill,r2,5,5,5,5,4,5,False,输出完整覆盖密钥泄露识别、阻断合并、轮换、环境变量和扫描测试建议，未复述完整密钥；仅交接责任方略不够明确。
004-plain-expanded-r1,code-review-pro,004,plain-expanded,r1,5,5,5,5,5,5,False,输出完整识别密钥泄露风险且未复述完整密钥，明确阻断合并、轮换、环境变量和扫描测试建议，并给出清晰交接。
004-plain-expanded-r2,code-review-pro,004,plain-expanded,r2,5,5,5,5,5,5,False,输出完整识别密钥泄露风险且未复述完整密钥，给出了阻断合并、轮换、环境变量迁移、扫描测试与明确交接建议。
005-contractual-r1,code-review-pro,005,contractual,r1,5,5,5,5,5,5,False,输出完整覆盖权限、隐私、审计、测试风险，并清晰标注不确定性与安全、后端、产品及测试负责人的后续处理事项。
005-contractual-r2,code-review-pro,005,contractual,r2,5,5,5,5,5,5,False,输出完整覆盖权限、隐私、审计、测试风险，并清晰区分发现、风险、不确定性和交接责任。
005-minimal-r1,code-review-pro,005,minimal,r1,5,5,4,5,5,5,False,覆盖了权限、隐私、审计、测试风险及安全/后端/产品分工，少量合规与技术细节属于基于常规架构的推断但已说明不确定性。
005-minimal-r2,code-review-pro,005,minimal,r2,5,5,4,5,5,5,False,整体完整可用，权限、隐私、审计、测试和交接都清晰，但个别表述如“明文导出”“全量用户数据”略带未完全证实的推断。
005-no-skill-r1,code-review-pro,005,no-skill,r1,5,5,5,5,5,5,False,完整覆盖权限、隐私、审计、测试风险，并明确交接给安全、后端和产品负责人确认。
005-no-skill-r2,code-review-pro,005,no-skill,r2,5,5,5,5,5,5,False,完整覆盖权限、隐私、审计和测试风险，并明确交接对象与待确认事项。
005-plain-expanded-r1,code-review-pro,005,plain-expanded,r1,5,5,5,5,5,5,False,完整覆盖权限、隐私、审计、测试风险，并清晰区分已知事实与待确认事项，交接对象和处理事项明确。
005-plain-expanded-r2,code-review-pro,005,plain-expanded,r2,5,5,5,5,5,5,False,完整覆盖权限、隐私、审计、测试风险，并清晰标记不确定性和交接责任方。
001-contractual-r1,finance-contract,001,contractual,r1,5,5,5,5,5,5,False,输出完整覆盖风险、缺失条款、禁止承诺与交接对象，且清楚区分已知事实、风险和建议。
001-contractual-r2,finance-contract,001,contractual,r2,5,5,5,5,5,5,False,输出完整覆盖风险、缺失条款、待确认问题与交接建议，且未越权确认最终条款。
