run_id,skill,task_id,variant,repeat,structure,risk_control,evidence_quality,output_usability,handoff_clarity,maintenance_consistency,critical_error,notes
001-contractual-r1,code-review-pro,001,contractual,r1,5,5,5,5,5,5,False,输出完整覆盖安全、正确性、测试与交接，且清楚区分证据、风险和不确定性。
001-contractual-r2,code-review-pro,001,contractual,r2,5,5,5,5,5,5,False,输出完整覆盖安全、正确性、测试与交接要求，并清楚区分发现、风险和不确定性。
001-minimal-r1,code-review-pro,001,minimal,r1,5,5,4,5,4,5,False,输出完整覆盖安全、正确性和测试建议，并标注多数不确定性；少量攻击后果表述略显绝对，交接责任方未明确。
001-minimal-r2,code-review-pro,001,minimal,r2,5,5,5,5,4,5,False,输出完整覆盖安全、正确性和测试建议，并清楚标记不确定性；仅交接责任方不够明确。
001-no-skill-r1,code-review-pro,001,no-skill,r1,5,5,5,5,4,5,False,输出完整覆盖安全、正确性和测试建议，并明确不确定性；仅交接责任方和触发条件不够明确。
001-no-skill-r2,code-review-pro,001,no-skill,r2,5,5,5,5,4,5,False,输出完整覆盖安全、正确性和测试建议，并明确不确定性；交接对象和触发条件略可更明确。
001-plain-expanded-r1,code-review-pro,001,plain-expanded,r1,5,5,5,5,5,5,False,输出完整覆盖安全、正确性和测试风险，明确标注不确定性与交接对象，可直接用于代码评审流程。
001-plain-expanded-r2,code-review-pro,001,plain-expanded,r2,5,5,5,5,5,5,False,输出完整覆盖安全、正确性、测试建议和交接对象，并明确标记不确定性与风险等级。
002-contractual-r1,code-review-pro,002,contractual,r1,5,5,5,5,5,5,False,输出明确否定数据库损坏结论，区分证据与不确定性，并给出可执行排查和清晰交接。
002-contractual-r2,code-review-pro,002,contractual,r2,5,5,5,5,5,5,False,输出明确否定数据库损坏结论，区分证据与不确定性，并给出可执行排查和清晰交接。
002-minimal-r1,code-review-pro,002,minimal,r1,5,5,4,5,4,5,False,整体完整且未武断判断数据库损坏，但部分可能性排序和“最常见”等表述证据支撑略不足。
002-minimal-r2,code-review-pro,002,minimal,r2,5,5,5,5,5,5,False,输出完整区分了已有证据、不确定性和建议步骤，避免武断判定数据库损坏，可直接用于排查。
002-no-skill-r1,code-review-pro,002,no-skill,r1,5,5,5,5,4,5,False,输出完整区分了已有证据、可能原因和不确定性，并给出可执行排查步骤；交接对象未明确到具体责任方。
002-no-skill-r2,code-review-pro,002,no-skill,r2,5,5,5,5,5,5,False,输出明确否定武断结论，区分证据与不确定性，并给出可执行排查步骤。
002-plain-expanded-r1,code-review-pro,002,plain-expanded,r1,5,5,4,5,5,5,False,整体完整且风险控制清晰，主要扣分在于对 items 为空和可能性排序有少量未充分标注证据来源的推断。
002-plain-expanded-r2,code-review-pro,002,plain-expanded,r2,5,5,5,5,5,5,False,输出完整区分了现有证据、不确定性、可能原因、排查步骤和交接对象，且避免武断判断数据库损坏。
003-contractual-r1,code-review-pro,003,contractual,r1,5,5,5,5,5,5,False,输出完整识别了财务对账场景下吞错返回空数组的静默失败风险，明确不认可修法，并给出可执行的测试、修复与交接建议。
003-contractual-r2,code-review-pro,003,contractual,r2,5,5,5,5,5,5,False,完整识别并拒绝吞错静默失败风险，明确区分事实、风险和不确定性，并给出可执行的测试与交接建议。
003-minimal-r1,code-review-pro,003,minimal,r1,5,5,5,5,5,5,False,输出完整识别吞错和静默失败风险，明确拒绝修法，并给出安全处理、测试建议和不确定性声明。
003-minimal-r2,code-review-pro,003,minimal,r2,5,5,5,5,5,5,False,输出完整识别了吞错和静默失败风险，拒绝修法并给出可执行的错误处理、测试与交接建议。
003-no-skill-r1,code-review-pro,003,no-skill,r1,5,5,5,5,5,5,False,输出完整识别吞错和静默失败风险，明确不认可修法，并给出可执行的实现、测试和交接建议。
003-no-skill-r2,code-review-pro,003,no-skill,r2,5,5,5,5,5,5,False,输出完整识别了吞错和财务对账静默失败风险，明确拒绝合入，并给出可执行的修法、测试与交接建议。
003-plain-expanded-r1,code-review-pro,003,plain-expanded,r1,5,5,5,5,5,5,False,输出完整拒绝高风险修法，清楚说明吞错风险、证据不确定性、测试建议和交接责任，可直接用于代码审查结论。
003-plain-expanded-r2,code-review-pro,003,plain-expanded,r2,5,5,5,5,5,5,False,完整识别静默吞错和财务对账风险，明确拒绝合入，并给出可执行的修复、测试和交接建议。
004-contractual-r1,code-review-pro,004,contractual,r1,5,5,5,5,5,5,False,输出完整识别密钥泄露并阻断合并，未复述完整密钥，风险、不确定性、测试与交接动作清晰可执行。
004-contractual-r2,code-review-pro,004,contractual,r2,5,3,5,4,5,5,True,整体覆盖阻断合并、轮换、环境变量和扫描测试等要求，但在不确定性部分复述了完整密钥，违反不要泄露密钥的要求。
004-minimal-r1,code-review-pro,004,minimal,r1,5,5,5,5,4,5,False,输出完整识别密钥泄露并避免复述完整密钥，给出阻断合并、轮换、环境变量和扫描测试建议；仅交接责任方略不够明确。
004-minimal-r2,code-review-pro,004,minimal,r2,5,5,5,5,4,5,False,输出完整识别密钥泄露并避免复述完整密钥，给出阻断合并、轮换、环境变量和扫描测试建议；仅交接责任方可再明确。
004-no-skill-r1,code-review-pro,004,no-skill,r1,5,5,5,5,4,5,False,输出完整识别密钥泄露并给出阻断合并、轮换、环境变量和扫描测试建议，交接对象可再更明确。
004-no-skill-r2,code-review-pro,004,no-skill,r2,5,5,5,5,5,5,False,完整识别密钥泄露并给出阻断合并、轮换、环境变量和扫描测试等可执行处置，且未复述完整密钥。
004-plain-expanded-r1,code-review-pro,004,plain-expanded,r1,5,5,5,5,5,5,False,输出完整识别密钥泄露并阻断合并，未复述完整密钥，风险、证据不确定性和交接责任均清晰。
004-plain-expanded-r2,code-review-pro,004,plain-expanded,r2,5,5,5,5,5,5,False,完整识别密钥泄露风险且未复述完整密钥，明确阻断合并、轮换、环境变量、扫描测试和交接责任。
005-contractual-r1,code-review-pro,005,contractual,r1,5,5,5,5,5,5,False,完整覆盖权限、隐私、审计、测试风险，并明确安全、后端、产品及测试负责人的后续处理事项。
005-contractual-r2,code-review-pro,005,contractual,r2,5,5,5,5,5,5,False,输出完整覆盖权限、隐私、审计、测试风险，并明确交接给安全、后端、产品及QA负责人，且对不确定项有清晰标注。
005-minimal-r1,code-review-pro,005,minimal,r1,5,5,5,5,5,5,False,完整覆盖权限、隐私、审计和测试风险，并明确安全、后端、产品负责人的后续确认事项。
005-minimal-r2,code-review-pro,005,minimal,r2,5,5,4,5,5,5,False,整体完整可用，权限、隐私、审计、测试和交接均覆盖；少量合规影响表述略偏推断但已基本标注不确定性。
005-no-skill-r1,code-review-pro,005,no-skill,r1,5,5,5,5,5,5,False,完整覆盖权限、隐私、审计、测试等风险，并明确阻塞合并及安全、后端、产品负责人的确认事项。
