run_id,skill,task_id,variant,repeat,structure,risk_control,evidence_quality,output_usability,handoff_clarity,maintenance_consistency,critical_error,notes
001-contractual-r1,code-review-pro,001,contractual,r1,5,5,4,5,5,5,False,整体完整可用，主要扣分在部分 HTTP 状态码、审计要求和数据库破坏性影响基于场景推断但已基本标记不确定性。
001-contractual-r2,code-review-pro,001,contractual,r2,5,5,4,5,5,5,False,整体完整可用，主要扣分在少量风险影响表述略有推断，如 DROP TABLE/篡改能力依赖数据库配置和权限。
001-minimal-r1,code-review-pro,001,minimal,r1,5,5,4,5,4,5,False,整体完整可用，但授权问题部分基于代码片段推断，未充分标注可能存在上游校验或鉴权。
001-minimal-r2,code-review-pro,001,minimal,r2,5,5,4,5,4,5,False,整体覆盖安全、正确性和测试建议充分，但个别影响描述如异常直接暴露给用户属于推断，交接责任方未明确。
001-no-skill-r1,code-review-pro,001,no-skill,r1,5,5,5,5,4,5,False,输出完整覆盖安全、正确性和测试建议，风险标记清晰，但交接责任方和触发条件未明确。
001-no-skill-r2,code-review-pro,001,no-skill,r2,5,5,4,5,4,5,False,审查覆盖安全、正确性和测试建议，风险提示明确；主要不足是下一步责任方和交接条件不够明确。
001-plain-expanded-r1,code-review-pro,001,plain-expanded,r1,5,5,4,5,5,5,False,整体完整可用，准确指出 SQL 注入等主要风险；少量影响描述略偏绝对且提到 PDO 与 Python 场景不完全匹配。
001-plain-expanded-r2,code-review-pro,001,plain-expanded,r2,5,5,4,5,5,5,False,整体覆盖安全、正确性和测试风险且交接清晰，主要扣分在于权限问题属于推断且包含了少量修复代码片段。
002-contractual-r1,code-review-pro,002,contractual,r1,5,4,4,5,4,5,False,整体完整可用，但结论中“不是数据库损坏”略显绝对，部分推断可更明确标注为基于当前堆栈的判断。
002-contractual-r2,code-review-pro,002,contractual,r2,5,4,4,5,5,5,False,整体结构完整且可用，但“不是数据库损坏”的结论略显绝对，更稳妥应表述为当前证据不支持数据库损坏。
