judge_model,model_slug,skill,task_id,repeat,original_quality,contractual_quality,delta
gemini-3.1-pro-preview,claude_opus_4_7,api-design-principles,001,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,api-design-principles,002,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,api-design-principles,001,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,api-design-principles,002,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,api-design-principles,003,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,api-design-principles,003,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,api-design-principles,004,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,api-design-principles,004,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,api-design-principles,005,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,api-design-principles,005,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,api-design-principles,006,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,api-design-principles,006,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,brainstorming,001,1,3.500,5.000,1.500
gemini-3.1-pro-preview,claude_opus_4_7,brainstorming,002,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,brainstorming,001,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,brainstorming,002,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,brainstorming,003,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,brainstorming,003,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,brainstorming,004,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,brainstorming,004,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,brainstorming,005,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,brainstorming,005,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,brainstorming,006,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,brainstorming,006,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,deal-closer-playbook,001,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,deal-closer-playbook,001,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,deal-closer-playbook,002,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,deal-closer-playbook,002,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,deal-closer-playbook,003,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,deal-closer-playbook,003,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,deal-closer-playbook,004,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,deal-closer-playbook,004,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,deal-closer-playbook,005,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,deal-closer-playbook,005,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,deal-closer-playbook,006,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,deal-closer-playbook,006,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,dependency-auditor,001,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,dependency-auditor,001,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,dependency-auditor,002,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,dependency-auditor,002,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,dependency-auditor,003,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,dependency-auditor,003,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,dependency-auditor,004,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,dependency-auditor,004,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,dependency-auditor,005,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,dependency-auditor,005,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,dependency-auditor,006,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,dependency-auditor,006,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,product-manager,001,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,product-manager,001,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,product-manager,002,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,product-manager,002,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,product-manager,003,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,product-manager,003,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,product-manager,004,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,product-manager,004,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,product-manager,005,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,product-manager,005,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,product-manager,006,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,product-manager,006,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,renewal-predictor,001,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,renewal-predictor,001,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,renewal-predictor,002,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,renewal-predictor,002,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,renewal-predictor,003,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,renewal-predictor,003,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,renewal-predictor,004,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,renewal-predictor,004,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,renewal-predictor,005,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,renewal-predictor,005,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,renewal-predictor,006,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,renewal-predictor,006,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,security-auditor,001,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,security-auditor,001,1,4.375,5.000,0.625
gemini-3.1-pro-preview,claude_opus_4_7,security-auditor,002,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,security-auditor,002,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,security-auditor,003,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,security-auditor,003,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,security-auditor,004,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,security-auditor,004,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,security-auditor,005,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,security-auditor,005,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,security-auditor,006,1,2.750,5.000,2.250
gemini-3.1-pro-preview,claude_opus_4_7,security-auditor,006,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,test-driven-development,001,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,test-driven-development,001,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,test-driven-development,002,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,test-driven-development,002,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,test-driven-development,003,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,test-driven-development,003,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,test-driven-development,004,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,test-driven-development,004,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,test-driven-development,005,2,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,test-driven-development,005,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,test-driven-development,006,1,5.000,5.000,0.000
gemini-3.1-pro-preview,claude_opus_4_7,test-driven-development,006,2,5.000,5.000,0.000
gemini-3.1-pro-preview,deepseek_v4_pro,api-design-principles,001,1,5.000,5.000,0.000
gemini-3.1-pro-preview,deepseek_v4_pro,api-design-principles,001,2,5.000,5.000,0.000
gemini-3.1-pro-preview,deepseek_v4_pro,api-design-principles,002,2,4.875,5.000,0.125
gemini-3.1-pro-preview,deepseek_v4_pro,api-design-principles,002,1,5.000,5.000,0.000
gemini-3.1-pro-preview,deepseek_v4_pro,api-design-principles,003,2,5.000,5.000,0.000
gemini-3.1-pro-preview,deepseek_v4_pro,api-design-principles,003,1,5.000,5.000,0.000
gemini-3.1-pro-preview,deepseek_v4_pro,api-design-principles,004,1,5.000,5.000,0.000
gemini-3.1-pro-preview,deepseek_v4_pro,api-design-principles,004,2,5.000,5.000,0.000
gemini-3.1-pro-preview,deepseek_v4_pro,api-design-principles,005,1,5.000,5.000,0.000
gemini-3.1-pro-preview,deepseek_v4_pro,api-design-principles,005,2,5.000,5.000,0.000
gemini-3.1-pro-preview,deepseek_v4_pro,api-design-principles,006,1,5.000,5.000,0.000
gemini-3.1-pro-preview,deepseek_v4_pro,api-design-principles,006,2,5.000,5.000,0.000
gemini-3.1-pro-preview,deepseek_v4_pro,brainstorming,001,1,3.250,3.125,-0.125
gemini-3.1-pro-preview,deepseek_v4_pro,brainstorming,001,2,5.000,3.125,-1.875
gemini-3.1-pro-preview,deepseek_v4_pro,brainstorming,002,1,4.375,5.000,0.625
gemini-3.1-pro-preview,deepseek_v4_pro,brainstorming,002,2,5.000,4.875,-0.125
gemini-3.1-pro-preview,deepseek_v4_pro,brainstorming,003,1,5.000,5.000,0.000
gemini-3.1-pro-preview,deepseek_v4_pro,brainstorming,003,2,5.000,5.000,0.000
